Type,Name,Description,Image,Reference,Demo,Year,Author,Publication,Pattern,Licence,Auhtor
Phantom Curved Lines,Illusory rectangles demo,"Straight lines appear to curve.

(Note: Demo title is ""Buckingham illusion"", but the illusion was only shared by Buckingham, not created by him, so the attribution is incorrect. This illusion appears to be unnamed.)",https://images2.imgbox.com/f7/c2/PEycpXFY_o.png,https://twitter.com/agshapiro2/status/1240850821996326912,https://openprocessing.org/sketch/859847,2020,Arthur Shapiro,,,,
Phantom Curved Lines,Illusory rectangles,Illusory (Gestalt?) tilted rectangles are observed at crosses.,https://images2.imgbox.com/cf/e1/bSg0SSzX_o.jpeg,https://twitter.com/akiyoshikitaoka/status/1240827199420108800,,2020,Kitaoka,,,,
False Spiral,Black And White Spirals,Concentric circles appear to be spirals.,https://images2.imgbox.com/09/93/jQE90xfg_o.jpeg,https://twitter.com/AkiyoshiKitaoka/status/1517805230695485441,,2022,Kitaoka,,,,
False Spiral,Colorful Spirals,"Concentric circles appear to be spirals.

[there is also illusory motion]",https://images2.imgbox.com/b4/b7/aOAVIAVn_o.jpeg,https://twitter.com/AkiyoshiKitaoka/status/1522002074556272642,,2022,Akiyoshi Kitaoka,,,,
Munker Illusion,The Dress,"From Wikipedia:

The dress is a photograph that became a viral phenomenon on the Internet in 2015. Viewers of the image disagreed on whether the dress depicted was coloured black and blue, or white and gold. The phenomenon revealed differences in human colour perception, which have been the subject of ongoing scientific investigations into neuroscience and vision science, producing a number of papers published in peer-reviewed scientific journals.",https://images2.imgbox.com/f0/7f/clAcUcyg_o.jpg,https://en.wikipedia.org/wiki/The_dress,,2015,Cecilia Bleasdale,,,,
Hermann grid,Hermann grid,"The Hermann grid illusion is an optical illusion reported by Ludimar Hermann in 1870.[1] The illusion is characterized by ""ghostlike"" grey blobs perceived at the intersections of a white (or light-colored) grid on a black background. The grey blobs disappear when looking directly at an intersection.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/HermannGrid.svg/440px-HermannGrid.svg.png,https://en.wikipedia.org/wiki/Grid_illusion,,,,,,,
Phantom Curved Lines,Pink Knots,Straight lines appear to be knotting. Origin unknown.,https://images2.imgbox.com/4b/0b/gT9VOmzl_o.jpeg,https://imgbox.com/yIdrCqHq,,Unknown,Unknown,,,,
Phantom Curved Lines,Separated Lines,,https://images2.imgbox.com/ef/ea/tsowxO3J_o.jpg,http://www.psy.ritsumei.ac.jp/~akitaoka/sakkon/sakkon2019.html,,2019,Toyomi Matsuno,,,,
Phantom Curved Lines,Cobbles,"From the author's page:

So yes, I really made that optical illusion….
…..And no- there’s no curved lines!

I liked his watermark better than the one i used in my Patreon post. I struggle with watermarking my work (obviously!)

I posted it publicly on Facebook before anywhere else, but left my name off. After all, I illustrate totally different things for a living, I thought it was just “cool looking” so I threw it up there on a lark.

Sorta the same thing on Reddit.

Short of a giant watermark in the middle it’s hard to keep my name attached, so if you see anyone else claiming credit, please consider letting me know. Im a disabled artist who side gigs my way the the work day- it would be great to have ownership of my wirk.

If you’re dubious I have all the original files including video of the “tile” being made.

I’m happy to answer questions and yes, there are more coming!

And now you can get everything from a jigsaw puzzle to a poster on Redbubble:

www.redbubble.com/people/Lesha…

If you want first access please consider being a Patreon patron! (Patreon/leshasillustrations)

Thanks all for enjoying this! You made my holiday season!

-Lesha",https://images2.imgbox.com/94/2c/G2Yr1qhW_o.jpg,https://www.deviantart.com/leshasillustrations/art/Lesha-Porche-Cobbles-Optical-Illusion-901413506,,2021,Lesha Porche,,,,
Munker Illusion,Munker Hearts,青から紫へのハートと緑からオレンジへのハート,https://images2.imgbox.com/d0/f9/m46YYmYC_o.png,http://www.psy.ritsumei.ac.jp/~akitaoka/color12e.html,http://www.psy.ritsumei.ac.jp/~akitaoka/color12e.html,2009 (original: 1970),"Kitaoka, from Munker","(original) Munker, H. (1970) Farbige Gitter, Abbildung auf der Netzhaut und übertragungstheoretische Beschreibung der Farbwahrnehmung. Habilitationsschrift, Ludwig-Maximilians-Universität, München.",,,
Munker Illusion,Confetti illusion,"The Munker illusion, which produces two apparently different hues from a base color, can be extended to multiple apparent colors. By having foreground stripes in more than two colors, it is possible to create multiple foreground colors that lead to multiple apparent hues in the base objects. This technique works well for three colors and can be extended to four, six, and even ten colors.",https://images2.imgbox.com/18/60/vGTUQ6Tz_o.jpg,https://journalofillusion.net/index.php/joi/article/view/6152/13749,,2021,"David Novick, Akiyoshi Kitaoka","Journal of Illusion 2021, 2: 6152 - https://doi.org/10.47691/joi.v2.6152",,,
Solid Expansion,Expanding black holes,Black holes appear to expand.,https://thumbs2.imgbox.com/a2/9a/Oa4cwOtr_t.png,http://www.psy.ritsumei.ac.jp/~akitaoka/expcont17e.html,,2021,Kitaoka,,,,
Inset,Out of Focus,The inset appears to fluctuate.,https://thumbs2.imgbox.com/33/19/QU0LQRjA_t.jpg,http://www.ritsumei.ac.jp/~akitaoka/motion-e.html,,2001,Kitaoka,,Blur,,
Color motion,Rotating snakes: a gray scale version,"Each disk appears to rotate 'spontaneously' in the constant direction, from black to dark gray, white, light gray, back to black.",https://images2.imgbox.com/76/8d/4GOGPwow_o.jpg,http://www.psy.ritsumei.ac.jp/~akitaoka/sakkaku-symposium2015-OFW.html,,2013,Kitaoka,,,,
